id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,3.15487292e-03,4.40795062e-04,2.05832347e-03,1.16962139e-02,4.17481689e-03,1.43501267e-03,4.76154004e-04,1.62637942e-02,1.68121774e-02,4.21767216e-03,3.08324397e-03,1.64186291e-03,2.00816587e-01,1.10005459e-03,6.19913044e-04,2.32619955e-03,3.69469030e-03,1.96661334e-02,4.44264757e-03,1.40890118e-03,1.12951791e-03,2.71979091e-03,1.62030896e-03,4.76344302e-03,2.86177523e-03,2.43753404e-03,2.63722939e-03,4.79499483e-03,2.68853921e-03,1.31383596e-03,2.78051849e-03,3.19703948e-03,2.10256665e-03,1.91056309e-03,9.98041686e-03,9.12566949e-03,1.21347781e-03,2.61704461e-03,1.93235616e-03,4.74976189e-03,2.68285931e-03,8.17801151e-03,3.77954706e-03,2.76916428e-03,3.88614088e-03,3.25017259e-03,1.03238178e-02,1.98595715e-03,1.06639042e-03,2.44309404e-03,1.96781126e-03,4.50020641e-01,1.29786204e-03,1.64911826e-03,5.52609144e-03,2.20618327e-03,1.59450562e-03,1.94372842e-03,2.62612384e-03,2.97569740e-03,9.02960484e-04,2.47525843e-03,1.63671013e-03,1.02071278e-02,3.51751014e-03,2.66583008e-03,5.07966382e-03,2.85559194e-03,4.58354130e-03,2.22419598e-03,1.51600782e-03,2.99302302e-03,2.47732736e-03,4.66474565e-03,2.89226207e-03,2.24912260e-03,3.22464108e-03,2.94074626e-03,4.24608216e-03,1.21035585e-02,4.47803829e-03,7.11071014e-04,1.38503255e-03,6.66575460e-03,2.24344269e-03,2.79110274e-03,1.66463421e-03,2.31872010e-03,1.43600651e-03,2.38104141e-03,1.50539051e-03,3.38685093e-03,6.21798506e-04,2.38758768e-03,1.40925136e-03,3.21979797e-03,1.43469370e-03,2.89635267e-03,3.32828588e-03
7,0.00203332,0.00431204,0.00820949,0.00440527,0.00270178,0.00694918,0.00640683,0.00770804,0.00427023,0.00320443,0.0040809,0.00359908,0.00461303,0.018098,0.00299478,0.00329142,0.00099118,0.00362364,0.00712813,0.01059779,0.0047904,0.00369368,0.00678498,0.0064899,0.00785673,0.00383615,0.00353767,0.00317034,0.00141017,0.01188926,0.06610548,0.00295705,0.01049814,0.00408897,0.00365645,0.00430286,0.00579033,0.01272374,0.03062978,0.0032278,0.00461065,0.00275695,0.00541222,0.03474796,0.0022388,0.00559641,0.00584498,0.01331281,0.01109563,0.004642,0.00520516,0.00452911,0.00675689,0.24101608,0.01128831,0.01088034,0.01405705,0.05028973,0.00614199,0.00441533,0.0013812,0.00926359,0.00536224,0.0008746,0.00233364,0.00142724,0.00246925,0.00745218,0.00428297,0.01384925,0.00555633,0.00133524,0.00452277,0.0081941,0.0094076,0.00303639,0.00202509,0.00374415,0.00182597,0.00418515,0.00245893,0.00789498,0.00702741,0.00360803,0.01863186,0.01000541,0.00968612,0.01813245,0.00125266,0.00213711,0.00663399,0.0050754,0.00851659,0.01278016,0.00777121,0.00291353,0.00511849,0.00482793,0.02150175
9,0.02741627,0.01849571,0.00570522,0.00646296,0.02029158,0.00192283,0.03861514,0.0336063,0.03998758,0.04213039,0.00685833,0.01056863,0.00599115,0.00535561,0.00603787,0.00977826,0.00400369,0.01878364,0.00169595,0.00245018,0.00360805,0.00641577,0.00267758,0.0071444,0.00347473,0.01147132,0.00913255,0.00228772,0.00550531,0.00229986,0.00691234,0.00551151,0.00946733,0.00348742,0.00495777,0.01445156,0.04602809,0.00415273,0.01123127,0.00977482,0.0041877,0.00937308,0.00349215,0.0020467,0.00286376,0.00668933,0.04633599,0.0069413,0.00382884,0.00771712,0.00433853,0.00087731,0.01142781,0.00498627,0.00388164,0.00169292,0.00179004,0.00251084,0.00201115,0.02080328,0.00593469,0.00250729,0.00329568,0.0176783,0.0044018,0.01964384,0.01475166,0.00820648,0.00181932,0.00139827,0.00465077,0.02717414,0.00370319,0.00406289,0.00850077,0.00405208,0.01051771,0.01578083,0.04178408,0.00445928,0.01691543,0.00137194,0.0095551,0.00299134,0.00273135,0.00211865,0.00158981,0.00507464,0.01387996,0.01301675,0.00472783,0.01623494,0.00685124,0.00459286,0.03459647,0.00351975,0.01533323,0.01209513,0.0045353,
12,0.00588764,0.01190593,0.00334647,0.00526906,0.002624,0.00913378,0.01006128,0.00663284,0.0052782,0.00373936,0.00444652,0.00497237,0.00492086,0.00407722,0.0041035,0.00344699,0.01167608,0.0049105,0.01982867,0.16370068,0.00278233,0.00760614,0.01182864,0.00259153,0.00560923,0.01083677,0.00520884,0.00423945,0.00502399,0.00833859,0.00950253,0.00791074,0.01204405,0.00574339,0.00735866,0.00380436,0.01164244,0.03808999,0.00232684,0.00181383,0.001294,0.0058261,0.00377681,0.00420461,0.0043795,0.00528713,0.00396134,0.02034821,0.00350499,0.00312287,0.00203455,0.00787873,0.00481008,0.00815114,0.01765683,0.03859809,0.01332555,0.00799742,0.00761088,0.00554728,0.01520107,0.00790447,0.00928289,0.00224408,0.00416881,0.0036771,0.00342246,0.02496863,0.00344528,0.0079292,0.01289466,0.00184831,0.02282494,0.00403055,0.00431969,0.00269306,0.01559305,0.02668968,0.00306084,0.00708588,0.0028738,0.01081258,0.00043884,0.00841205,0.06779598,0.00155914,0.01549841,0.01676078,0.00058958,0.0085918,0.00503413,0.00767452,0.00977424,0.002617,0.01173086,0.00561719,0.01198008,0.00287132,0.00250236
13,0.00452091,0.00950409,0.00305377,0.00590141,0.00254554,0.0036569,0.02059412,0.00122457,0.00377771,0.00504402,0.02382287,0.00399829,0.01006772,0.00394868,0.21208185,0.00514036,0.00743869,0.01923331,0.00588281,0.00163981,0.00429117,0.00264951,0.00249301,0.00493351,0.00350883,0.0050709,0.01354919,0.0022255,0.00261852,0.00353332,0.00941747,0.00385022,0.00380638,0.0036027,0.01638479,0.00817634,0.00456058,0.00576689,0.00582512,0.0087609,0.00355959,0.00819225,0.00610962,0.00274784,0.00390021,0.1388254,0.08669287,0.0042268,0.00297144,0.00388407,0.01005467,0.00346569,0.00921215,0.00223842,0.00340365,0.00217042,0.00238499,0.0042439,0.01426725,0.01432486,0.0014353,0.00281933,0.00441149,0.00756424,0.00613995,0.00484904,0.0086031,0.00368362,0.00835524,0.00461201,0.00308823,0.01074816,0.00393951,0.00091254,0.00282273,0.0015653,0.00296118,0.00617925,0.00145534,0.01162604,0.0062564,0.00534153,0.0032262,0.00205673,0.00347477,0.00841317,0.00489057,0.00268349,0.00674002,0.00477261,0.00187054,0.00226814,0.00427602,0.00786889,0.03083676,0.00308161,0.00102604,0.0046339,0.00353285
16,3.88125365e-04,1.86530029e-04,5.86781025e-05,9.27487612e-01,1.47494648e-04,1.08227343e-03,1.74613859e-04,9.63397441e-04,1.42196775e-03,3.65134038e-05,6.49615889e-04,4.55333095e-04,2.46741023e-04,1.74944551e-04,6.83006510e-05,4.22824960e-04,6.90081855e-04,1.81836542e-04,4.55365021e-04,2.42819748e-04,2.64911447e-04,1.05734086e-02,3.74651107e-04,1.95333079e-04,2.87484640e-04,8.56775616e-04,2.20827351e-04,5.92496421e-04,1.71836728e-04,1.94678098e-04,1.83981727e-04,1.43657415e-03,2.54573912e-04,3.51351016e-04,2.76841689e-04,5.96649363e-04,6.75784831e-05,4.54333494e-04,2.22816292e-04,3.71549831e-04,2.98276020e-04,4.58682276e-04,3.22829030e-04,3.79993056e-04,4.04524995e-04,8.36043328e-05,2.25516327e-04,6.65673288e-05,1.57419840e-04,3.26949201e-04,2.72961683e-04,2.91781907e-04,6.82047030e-05,4.41484153e-04,4.72995394e-04,3.76123557e-04,1.57298287e-04,3.22346779e-04,1.06835047e-04,1.43251837e-05,5.79414482e-04,1.57395238e-03,1.09951489e-03,4.21069516e-03,4.46558755e-04,1.76634837e-03,1.34760619e-03,8.51362071e-04,1.19392034e-02,2.57398904e-04,5.32557955e-04,5.67133713e-04,4.83610580e-04,7.86689518e-04,1.84239121e-04,1.57252257e-03,1.76958228e-03,3.25553905e-04,5.27254015e-04,6.15219004e-04,4.73191394e-05,1.36816336e-04,1.07946442e-04,5.49423334e-04,3.65291315e-04,1.38945310e-04,9.57559023e-05,5.96267986e-04,2.65302311e-04,2.58375279e-04,2.10127357e-04,1.95379562e-05,2.91306502e-03,7.38565635e-04,4.04241349e-04,2.70623714e-04,1.55468832e-03,9.11372132e-04,2.47576827e-04
19,3.37883341e-03,7.55137159e-03,9.16955061e-04,4.69185561e-01,9.10060422e-04,7.82015361e-03,7.00366637e-03,1.83176920e-02,5.44015411e-03,8.63230962e-04,9.68693849e-03,3.06401681e-02,1.39344586e-02,2.16975855e-03,3.60029080e-04,3.98674374e-03,9.29370150e-03,7.11186498e-04,1.98622653e-03,1.96281774e-03,1.31759676e-03,2.57482361e-02,2.23044050e-03,6.00541651e-04,4.24742792e-03,5.58867911e-03,8.36244971e-03,1.21343136e-02,1.84506015e-03,3.88676836e-03,3.10037145e-03,8.70170258e-03,3.45338648e-03,2.04540137e-03,3.89337540e-03,4.01664851e-03,1.55855007e-02,4.04828647e-03,3.30052176e-03,3.89065663e-03,2.59551313e-03,2.47317785e-03,3.84133216e-03,2.22827308e-03,1.15441368e-03,1.36158336e-03,1.92596521e-02,3.25832167e-03,1.65437837e-03,4.25193459e-03,3.90862487e-03,7.03916559e-03,1.17843709e-04,1.80527649e-03,4.63380711e-03,1.42753834e-03,2.25447793e-03,3.17242090e-03,7.88519450e-04,1.13324053e-03,2.77514663e-03,5.68005908e-03,1.40334461e-02,1.76531486e-02,8.31935182e-03,5.00624953e-03,2.65357690e-03,8.39688070e-03,1.20110465e-02,2.60297302e-03,3.43876681e-03,6.97918003e-03,5.35233738e-03,2.37122253e-02,1.27461180e-03,1.17774559e-02,4.92992951e-03,3.91699839e-03,2.03550840e-03,3.22866230e-03,6.01491425e-04,1.30452041e-03,5.25614712e-04,1.28741972e-02,3.59242316e-03,3.41171166e-03,2.99111032e-03,2.50872062e-03,6.51194295e-03,1.20863481e-03,3.93737853e-03,2.30175373e-03,8.63507390e-03,3.43183102e-03,1.53252226e-03,2.48410250e-03,3.11316783e-03,8.08417052e-03,2.69548828e-03
23,0.00382917,0.00570312,0.02068845,0.00691305,0.00743508,0.02034898,0.00948276,0.00912531,0.0027623,0.00266504,0.00446864,0.0035948,0.00430102,0.00308766,0.00602216,0.03878268,0.00430108,0.00313159,0.00166033,0.02659704,0.00211859,0.00677838,0.0135426,0.00129719,0.01206922,0.00370458,0.00732226,0.01460634,0.06784324,0.02688606,0.00159814,0.00309698,0.01078906,0.00466799,0.00714593,0.04332699,0.00547769,0.03808913,0.00203493,0.00546341,0.00612019,0.00508695,0.0075607,0.01864193,0.0080516,0.00433724,0.00400625,0.06501187,0.00348421,0.00514445,0.01365593,0.00515443,0.00422788,0.00799282,0.01986764,0.01859817,0.01349417,0.00370493,0.01644384,0.00645558,0.01063702,0.00536936,0.00707726,0.00192119,0.01171768,0.00943622,0.00347244,0.01127787,0.00716703,0.01323154,0.0080454,0.00645046,0.00374147,0.00538547,0.00108201,0.00303734,0.00122169,0.0005194,0.00490717,0.00721668,0.01193041,0.00820837,0.00728843,0.00661041,0.01366914,0.02300391,0.01770494,0.00361513,0.00190767,0.004852,0.00583449,0.00471345,0.00613329,0.01362253,0.01438165,0.01958823,0.00571204,0.00154436,0.00696491
24,0.00478583,0.00611339,0.00494398,0.0053204,0.00177492,0.00272002,0.00753067,0.00864393,0.00376394,0.00166712,0.00355168,0.00307874,0.00409439,0.00525595,0.00506965,0.00410979,0.01082951,0.00419848,0.00812657,0.00426489,0.0059436,0.00422633,0.01010346,0.00647644,0.00584617,0.00243956,0.00563593,0.00338965,0.00540954,0.02481887,0.00348088,0.00263681,0.00784197,0.00350656,0.0047107,0.00454255,0.01193566,0.00064425,0.00298296,0.00393451,0.01216353,0.00317973,0.00211926,0.0135181,0.00211932,0.00409179,0.00532097,0.03078137,0.00758527,0.02062888,0.00216062,0.00347375,0.00767102,0.00945858,0.05715122,0.01594307,0.03387177,0.11634486,0.00886076,0.00267036,0.00298422,0.0072787,0.00742988,0.00137117,0.00417891,0.00186812,0.00115107,0.01703585,0.00406733,0.02592717,0.00457339,0.00261952,0.00268672,0.0027082,0.00135548,0.00245803,0.00081036,0.04091069,0.00353199,0.00651008,0.0019902,0.01009985,0.00827338,0.00627725,0.11952833,0.0038736,0.04908737,0.02385225,0.0084938,0.0021065,0.00367058,0.00717421,0.00584425,0.00615104,0.00676151,0.00356659,0.00676982,0.00231932,0.00323856
28,5.47031232e-04,7.16437353e-04,4.31838998e-04,1.13974679e-02,3.99156183e-04,1.09319843e-03,8.30079895e-04,1.99472010e-02,8.79235625e-01,3.07802518e-04,5.74053312e-03,6.63063372e-04,2.90074560e-04,4.09826665e-04,3.35364195e-04,1.17243198e-03,9.62730439e-04,1.03417784e-03,3.33372829e-03,5.50573983e-04,3.13638040e-04,6.92942180e-04,6.53481460e-04,4.73687513e-04,1.40133314e-03,2.08408013e-03,1.62061141e-03,1.52051402e-03,6.08543574e-04,2.67925061e-04,1.35434535e-03,2.54616467e-03,6.28682552e-04,4.38528252e-04,2.89284042e-03,9.41866252e-04,7.62828044e-04,7.60061666e-04,1.96872847e-04,1.10975420e-03,1.30197068e-03,7.14781054e-04,6.04663277e-04,8.13824823e-04,7.91078492e-04,2.64269591e-04,2.30371580e-03,2.47876713e-04,4.98732843e-04,5.87976887e-04,8.36643740e-04,1.25507987e-03,3.27121583e-04,4.61682008e-04,2.65895593e-04,7.36044312e-04,4.56720998e-04,6.28954556e-04,5.42752503e-04,8.48990690e-04,2.38325694e-04,5.95561112e-04,4.17363510e-04,2.51332414e-03,8.39103246e-04,1.46771921e-03,8.32240679e-04,1.25629362e-03,1.98386004e-03,6.42732310e-04,4.27652558e-04,2.39690795e-04,1.16546848e-03,4.83040261e-04,1.22972729e-03,1.21291925e-03,7.25422986e-04,5.56175306e-04,5.95372054e-04,5.39530942e-04,6.46217493e-04,4.03455371e-04,1.06095255e-03,2.27528997e-03,1.14016212e-03,1.20986986e-03,4.45723854e-04,2.51370657e-04,2.18916428e-03,1.48242936e-04,3.44977365e-04,6.70794616e-05,3.95906996e-03,1.08465587e-03,3.30974290e-04,1.82319491e-04,4.58076713e-04,2.98943196e-04,3.86449159e-04
